COUNT	LENGTH	DATA
4	6	String
1	10	BUILD_TYPE
1	7	Boolean
1	11	BuildConfig
1	5	DEBUG
1	12	LIBRARY_NAME
1	20	LIBRARY_PACKAGE_NAME
1	15	LIBRARY_VERSION
1	7	boolean
1	12	parseBoolean
