COUNT	LENGTH	DATA
1	12	dialog_theme
1	12	disconnector
1	11	dismissible
1	26	display_feature_sub_screen
1	24	disposable_build_context
1	7	divider
1	13	divider_theme
1	15	document_change
1	18	document_reference
1	17	document_snapshot
1	4	drag
1	12	drag_details
1	11	drag_target
1	26	draggable_scrollable_sheet
1	6	drawer
1	13	drawer_header
1	12	drawer_theme
1	8	dropdown
1	23	dual_transition_builder
1	5	eager
1	18	eager_span_scanner
1	11	edge_insets
1	12	edit_membros
1	8	editable
1	13	editable_text
1	15	elevated_button
1	21	elevated_button_theme
1	17	elevation_overlay
1	15	ellipsis_search
1	10	email_auth
1	22	empty_unmodifiable_set
1	6	engine
1	8	equality
1	12	equality_map
1	12	equality_set
1	14	equals_matcher
1	13	error_helpers
1	14	error_matchers
1	9	evaluator
1	9	event_add
1	16	event_simulation
1	10	event_sink
1	6	evento
1	11	evento_page
1	6	events
1	11	expand_icon
1	15	expansion_panel
1	14	expansion_tile
1	20	expansion_tile_theme
1	12	expect_async
1	10	extensions
1	13	facebook_auth
1	13	fade_in_image
1	15	feature_matcher
1	8	feedback
1	10	field_path
1	15	field_path_type
1	11	field_value
1	4	file
1	7	finders
1	8	firebase
1	12	firebase_app
1	23	firebase_auth_exception
1	36	firebase_auth_multi_factor_exception
1	17	firebase_auth_web
1	24	firebase_core_exceptions
1	17	firebase_core_web
1	18	firebase_exception
1	16	firebase_options
1	9	firestore
1	23	firestore_message_codec
1	4	flex
1	18	flexible_space_bar
1	22	floating_action_button
1	31	floating_action_button_location
1	28	floating_action_button_theme
1	4	flow
1	13	flutter_lints
1	32	flutter_plugin_android_lifecycle
1	13	focus_manager
1	11	focus_scope
1	15	focus_traversal
1	11	font_loader
1	5	fonts
1	11	force_press
1	4	form
1	8	form_row
1	12	form_section
1	17	fractional_offset
1	5	frame
1	23	frame_timing_summarizer
1	9	framework
1	19	friction_simulation
1	8	frontend
1	7	frustum
1	9	functions
1	12	future_group
1	15	future_matchers
1	9	geo_point
1	8	geometry
1	16	gesture_detector
1	16	gesture_settings
1	11	get_options
1	11	github_auth
1	9	glyph_set
1	7	goldens
1	11	google_auth
1	8	gradient
1	18	gravity_simulation
1	10	grid_paper
1	9	grid_tile
1	13	grid_tile_bar
1	5	group
1	11	group_entry
1	17	guarantee_channel
1	19	handler_transformer
1	15	haptic_feedback
1	17	hardware_keyboard
1	14	having_matcher
1	6	heroes
1	11	highlighter
1	8	hit_test
1	9	home_menu
1	9	home_page
1	5	hooks
1	4	http
1	11	http_parser
1	4	icon
1	11	icon_button
1	9	icon_data
1	10	icon_theme
1	16	icon_tree_shaker
1	15	id_token_result
1	16	identifier_regex
1	11	image_cache
1	13	image_decoder
1	12	image_filter
1	10	image_icon
1	13	image_options
1	20	image_picker_for_web
1	20	image_picker_options
1	21	image_picker_platform
1	14	image_provider
1	16	image_resolution
1	12	image_source
1	12	image_stream
1	4	impl
1	19	implicit_animations
1	15	inherited_model
1	18	inherited_notifier
1	15	inherited_theme
1	14	ink_decoration
1	13	ink_highlight
1	10	ink_ripple
1	10	ink_splash
1	8	ink_well
1	11	inline_span
1	12	input_border
1	28	input_date_picker_form_field
1	15	input_decorator
1	9	inscricao
1	18	interactive_viewer
1	15	interface_level
1	10	interfaces
1	14	internal_style
1	15	interop_shimmer
1	19	intersection_result
1	21	intersection_selector
1	4	intl
1	7	invoker
1	21	isolate_snapshot_data
1	8	isolates
1	19	iterable_extensions
1	17	iterable_matchers
1	12	iterable_zip
1	2	js
1	25	json_document_transformer
1	11	kernel_blob
1	3	key
1	12	keyboard_key
1	17	keyboard_listener
1	13	keyboard_maps
1	5	layer
1	14	layout_builder
1	13	layout_helper
1	10	lazy_chain
1	11	lazy_stream
1	10	lazy_trace
1	8	licenses
1	12	line_scanner
1	5	lints
1	9	list_body
1	15	list_extensions
1	9	list_tile
1	15	list_tile_theme
1	9	list_view
1	22	list_wheel_scroll_view
1	19	list_wheel_viewport
1	16	listener_helpers
1	9	live_test
1	20	live_test_controller
1	16	load_bundle_task
1	25	load_bundle_task_snapshot
1	8	location
1	14	location_mixin
1	10	login_page
1	10	long_press
1	9	lost_data
1	18	lost_data_response
1	10	lsq_solver
1	4	main
1	12	map_matchers
1	8	matchers
1	15	material_button
1	14	material_fonts
1	22	material_localizations
1	14	material_state
1	20	material_state_mixin
1	4	math
1	10	math_utils
1	7	matrix2
1	7	matrix3
1	7	matrix4
1	12	matrix_utils
1	11	media_query
1	12	membros_page
1	10	menu_arrow
1	10	menu_close
1	9	menu_home
1	18	mergeable_material
1	7	message
1	13	message_codec
1	14	message_codecs
1	9	meta_meta
1	8	metadata
1	30	method_channel_aggregate_query
1	35	method_channel_collection_reference
1	30	method_channel_document_change
1	33	method_channel_document_reference
1	26	method_channel_field_value
1	34	method_channel_field_value_factory
1	23	method_channel_firebase
1	27	method_channel_firebase_app
1	28	method_channel_firebase_auth
1	24	method_channel_firestore
1	27	method_channel_image_picker
1	31	method_channel_load_bundle_task
1	27	method_channel_multi_factor
1	20	method_channel_query
1	29	method_channel_query_snapshot
1	26	method_channel_transaction
1	19	method_channel_user
1	30	method_channel_user_credential
1	26	method_channel_write_batch
1	14	microsoft_auth
1	5	mocks
1	13	modal_barrier
1	8	monodrag
1	12	mouse_cursor
1	13	mouse_tracker
1	14	mouse_tracking
1	13	multi_channel
1	12	multi_factor
1	26	multi_image_picker_options
1	9	multidrag
1	8	multitap
1	7	nav_bar
1	14	navigation_bar
1	20	navigation_bar_theme
1	15	navigation_rail
1	21	navigation_rail_theme
1	18	navigation_toolbar
1	9	navigator
1	18	nested_scroll_view
1	12	never_called
1	9	no_splash
1	4	node
1	5	noise
1	8	nonconst
1	4	none
1	14	notched_shapes
1	16	notificacao_page
1	21	notification_listener
1	16	null_stream_sink
1	16	numeric_matchers
1	5	oauth
1	4	obb3
1	13	observer_list
1	11	on_platform
1	6	opengl
1	16	operating_system
1	17	operator_matchers
1	14	order_matchers
1	16	organizador_page
1	19	orientation_builder
1	15	outlined_button
1	21	outlined_button_theme
1	12	overflow_bar
1	7	overlay
1	20	overscroll_indicator
1	4	page
1	13	page_scaffold
1	12	page_storage
1	22	page_transitions_theme
1	9	page_view
1	5	pages
1	20	paginated_data_table
1	15	paint_utilities
1	9	paragraph
1	11	parsed_path
1	6	parser
1	14	path_exception
1	8	path_map
1	8	path_set
1	10	pause_play
1	20	persistence_settings
1	10	phone_auth
1	6	picker
1	13	pigeon_helper
1	3	pkg
1	16	placeholder_span
1	5	plane
1	16	platform_channel
1	34	platform_interface_aggregate_query
1	43	platform_interface_aggregate_query_snapshot
1	39	platform_interface_collection_reference
1	38	platform_interface_confirmation_result
1	34	platform_interface_document_change
1	37	platform_interface_document_reference
1	36	platform_interface_document_snapshot
1	30	platform_interface_field_value
1	38	platform_interface_field_value_factory
1	27	platform_interface_firebase
1	31	platform_interface_firebase_app
1	32	platform_interface_firebase_auth
1	34	platform_interface_firebase_plugin
1	28	platform_interface_firestore
1	36	platform_interface_index_definitions
1	35	platform_interface_load_bundle_task
1	44	platform_interface_load_bundle_task_snapshot
1	31	platform_interface_multi_factor
1	24	platform_interface_query
1	33	platform_interface_query_snapshot
1	45	platform_interface_recaptcha_verifier_factory
1	30	platform_interface_transaction
1	23	platform_interface_user
1	34	platform_interface_user_credential
1	30	platform_interface_write_batch
1	17	platform_menu_bar
1	17	platform_selector
1	14	platform_views
1	10	play_pause
1	14	point_provider
1	18	point_provider_lab
1	7	pointer
1	14	pointer_router
1	23	pointer_signal_resolver
1	10	popup_menu
1	16	popup_menu_theme
1	5	posix
1	14	preferred_size
1	13	presenca_page
1	25	primary_scroll_controller
1	5	print
1	14	prints_matcher
1	8	priority
1	14	priority_queue
1	18	progress_indicator
1	24	progress_indicator_theme
1	9	proxy_box
1	12	proxy_sliver
1	7	pubspec
1	4	quad
1	9	quantizer
1	16	quantizer_celebi
1	13	quantizer_map
1	17	quantizer_wsmeans
1	12	quantizer_wu
1	10	quaternion
1	5	query
1	23	query_document_snapshot
1	14	query_snapshot
1	10	queue_list
1	5	radio
1	15	radio_list_tile
1	11	radio_theme
1	12	range_slider
1	12	raw_keyboard
1	20	raw_keyboard_android
1	20	raw_keyboard_fuchsia
1	16	raw_keyboard_ios
1	18	raw_keyboard_linux
1	21	raw_keyboard_listener
1	18	raw_keyboard_macos
1	16	raw_keyboard_web
1	20	raw_keyboard_windows
1	3	ray
1	18	recaptcha_verifier
1	10	recognizer
1	12	recover_page
1	14	redefinir_page
1	7	refresh
1	17	refresh_indicator
1	13	reject_errors
1	21	relative_span_scanner
1	12	release_sink
1	19	release_transformer
1	16	remote_exception
1	9	resampler
1	17	restartable_timer
1	22	restoration_properties
1	13	retrieve_type
1	5	retry
1	11	rotated_box
1	24	rounded_rectangle_border
1	5	route
1	6	router
1	6	routes
1	7	runtime
1	9	safe_area
1	9	saml_auth
1	8	scaffold
1	5	scale
1	7	scanner
1	15	scroll_activity
1	27	scroll_aware_image_provider
1	20	scroll_configuration
1	14	scroll_context
1	17	scroll_controller
1	14	scroll_metrics
1	19	scroll_notification
1	28	scroll_notification_observer
1	14	scroll_physics
1	15	scroll_position
1	35	scroll_position_with_single_context
1	17	scroll_simulation
1	11	scroll_view
1	10	scrollable
1	15	scrollbar_theme
1	6	search
1	15	search_ellipsis
1	12	search_field
1	17	segmented_control
1	17	selectable_region
1	15	selectable_text
1	9	selection
1	14	selection_area
1	19	selection_container
1	18	semantics_debugger
1	15	semantics_event
